text,sentiment,source,theme
"on my first Training Day they told me to be there at 7:30 and I got to go home at around five, a 10 hour shift for three full days.

First day we didn't do anything, we just sat and watched videos about what is expected of us. We didn't even walk around the warehouse.

Day two they split us into groups and assigned us sections. The first section I was on was picking. The guy showing me around looked brand new, he didn't really understand at all. Everyone was just chilling minding their business.

They have a really high violation policy on phones. After the second day they explain picking and the ops. The ops are machines you have to ride, and it's actually very hard. When I first got on the op I did not want to do this. I told the girl I was scared and she told me if I didn't want to ride the op I could just go home and clock out. So I got on the op scared as hell and not ready for it at all.

I love picking but if you're tired it could be really hard because you're on your feet 24/7. The op is more chill once you understand the machine. They made me sign a contract, take the op test, I passed. Three tests total. They do drug tests but don't screen for marijuana.

On the third day you're still in practice mode, learning about the op and picking, not many people watching anymore. They let you do your thing.

When they ask the one through five survey at the start of the day answer accurately because they are reading those. If you put zero for all of them they'll call you to the help desk.

Do you really want to be doing this for five or eight hours a day? It's not worth it at all.

After working 30 days at Amazon I quit. I'm no longer working there. Hunt to better things, get out of the Matrix.

First week take home was $390.81 after 16.4% taxes. A heavier week at 45 hours, take home was $496.75 after 17.9% taxes. Do not work a nine to five, it's not the best.
",negative,YouTube,Training Gaps
"Today is a Tuesday, I work from 6:30pm to 5am.

Once I'm in the warehouse I receive my scanner and wait in line to receive my station. This can take five to ten minutes because there are always a lot of people. The warehouse is super big so it took a good minute to get to my station.

Gloves are mandatory, not because of the pandemic, just for safety since you don't know what you'll be touching or if things have broken. Your badge is pretty much everything — it's how you check in, clock in, and get in and out of the building.

Pretty much all you do is wait for yellow pods to come, scan them, and count how many items are in each bin. It's not too hard but this is all you do for 10 hours straight.

At 9:50 my scanner stopped working, kept turning on and off and staying off for 20 minutes at a time so I was just standing around for half of it.

First break is at 11, only 30 minutes, so I have to be back at my station by 11:30. It is so cold outside, like 50 degrees. Once I get into the building I'm fine but the walk is rough.

By 1:50am I'm over it. My next break isn't until 3am and I get off at 5am, so I'm just counting down. I'm not tired, just over it because all you're doing is counting for 10 hours straight.

Second break I don't eat, I just chill and relax in the car. It's so cold I didn't want to get out when it was time to go back in.

Done at 5:08am, home by 5:35. Going to shower, clean out my bag, and go back to sleep to do it all over again tomorrow.
",positive,YouTube,Burnout
"Amazon's bad. We're going to talk about the top three things you need to know before working at Amazon.

Number one: don't work there. Never work there. I'd rather work at a Jack In The Box paying five dollars an hour than work at Amazon, because at least at Jack In The Box you get bathroom breaks. Amazon has a thing called time off task. If you're doing anything besides your assigned position they hit you for it. A lot of people get fired because of this, because a lot of people's time off task is using the bathroom. There have been multiple stories of people using the bathroom on themselves while working.

Number two: if you bypass number one and you're already in it, learn how to quit Amazon. There's no respect for human decency there. UPS drivers start at 28 dollars an hour and make 40 after a few years. FedEx drivers aren't far behind. Amazon drivers get paid the same as someone working at a pizza place. You're doing all the work of a UPS or FedEx driver getting paid pennies in comparison.

Everyone I've talked to that worked at Amazon has quit. Not fired, quit. And the people that have been fired should probably sue because they'd more than likely win.

Number three: work for somebody else. That's literally it, because if you work for somebody else you won't be working at Amazon and you'll be happy.

I've never seen anybody work at Amazon for more than two months. Also, Amazon will offer you a three thousand dollar signing bonus — read the fine print. It's spread over an 80 week period with a 30 day trial, so you only see a fraction of it.

Find somewhere else. Don't even entertain it. It's quite terrible, it's just not fun.
",positive,YouTube,Burnout
"Today is my day one working at Amazon. I'm doing the night shift, 6:30pm to 5am. They have us coming in at 9pm for training.

I'm going in with a positive attitude. A lot of videos I saw had people already negative about Amazon, making it easy for them to quit after a day or a week. I'm really trying to make it six months.

Arrived 20 minutes early. When I walked through the doors a guy greeted me, had my bag ready, and there was someone at every step to point you in the right direction to the classroom. Really organized, no complaints so far.

First day is entirely classroom presentations and training, 9pm to 5am. He said we'll probably finish an hour and a half early. Next two days is on-the-job training with a learning ambassador the whole time. Fourth day they let you work independently. They told us we're in outbound but didn't say exactly what our job will be yet.

First break is 15 minutes, second break is 30 minutes where you clock out, then another 15 minute break. The two 15 minute breaks you don't clock out so no extra pay for those.

Still don't know exactly where I'll be working tomorrow. He thinks I'll be doing picking, another girl said I might be on a dock. I really just don't want to be standing in one spot the whole shift, I'd rather be walking around, so hoping for picking.

Amazon turnover is high — another girl said a lot of people came and left already. They're still trying to hire because the building only opened three months ago.

You can't transfer to another position until 30 days in, which feels long but they want you trained first.

They have a machine where you can get gloves and all the supplies you need. They also gave us a code for free shoes from Zappos, plus free inserts. Taking advantage of that.

Day one done at 4:16am, 45 minutes early but still paid until 5am. So far so good, but real on-the-job training starts tomorrow so we'll see.

Day one is literally just training — I don't see how so many people don't make it through that because it's the easiest money you'll make. Just go in with a positive attitude and be open-minded.
",positive,YouTube,Training Gaps
"I worked at Amazon for three and a half years in the outbound department of a fulfillment center. These buildings are massive, around 17 football fields. I worked in the pac department and ship dock.

**Pros:**

The pay is decent, not great. Better than retail or fast food but for a company that size you'd expect more. They switched to weekly pay towards the end which was nice.

Insurance is really good — medical, dental and vision for less than 40 dollars a month as a single person. A lot of people worked there just for the insurance. They have a 401k with a match up to two percent, but the match doesn't vest for three years, meaning if you quit before three years you lose it. They don't make that obvious, you have to read the fine print.

Four day work week with three day weekends, but 10 hour shifts. I loved the three day weekends but work took up your whole day. I felt like my life was on pause for four days — wake up, work, eat, shower, sleep, repeat. No time to do anything else or you'd show up exhausted.

You don't deal with customers at all, everything is behind the scenes. I specifically looked for jobs like that.

Made a lot of friends there, which surprised me. Around a thousand employees between day and overnight shifts.

Time off was generous — vacation, PTO, and unpaid time off. After a year you had almost a full month off total. You manage it yourself through an app, no questions asked. Bad day? Walk out mid-shift, nobody says anything as long as you have time. However if you hit zero time you're automatically terminated, no second chances, your badge won't even let you in.

VTO — voluntary time off — was an option when it was slow. You could leave without pay but without using your time. Sometimes I walked in and within three minutes they were offering VTO. The downside is you can't predict it and you don't get paid.

Mandatory overtime when busy — up to 60 hours a week, six days. If you want money there's money to be made, but doing heavy lifting for 60 hours a week with only one day to rest is brutal.

**Cons:**

A lot of heavy lifting, very physically demanding for 10 hour shifts. After years of it your body is just done. Some tasks take 30 seconds and you repeat them for 10 hours straight. After one hour you realize you have nine more hours and then three more days after that.

Basically anyone gets hired. In my group interview the first thing they said was if you can pass a drug test and want any of these shifts you have a job. The drug test is a mouth swab and easy to get around. I'd predict 25 to 50 percent of the building would fail a full drug test.

Because anyone gets hired you get people doing as little work as possible. I once looked at numbers halfway through a shift — I'd done 500 boxes, the other two people did about 200 each. I wasn't even trying hard, just working at a normal pace. The bar is set so low that if you're capable they pile more work on you, and if you're not capable not much is expected. It's very unfair.

There were people called wannabe supervisors who realized supervisors do less physical work, so they'd walk around fast pretending to be in charge, bossing people around when they weren't. It was a joke.

I had a situation where I was scheduled for a half day of overtime. Last minute at the morning meeting they announced it was actually a full day. I went straight to HR and the rep gave me attitude, basically said too bad. I was so enraged I was cursing at her. The head of the building walked me back to HR, told me to work the half day and they'd sort it out. I worked the half day furious and left. Because I left I had to use six hours of my own time to cover the rest of the scheduled shift. Never got it back. That was the point where I thought why do I even try for this company.

Another time I hurt my back lifting. When I went to the safety office the very first thing they asked was whether I was lifting properly — trying to get me to admit fault so they weren't responsible. I told my supervisor my back was hurt and the very first thing out of their mouth was about the day's package numbers and whether their targets would be affected. Couldn't believe it.

They're supposed to rotate your job so you're not using the same muscles every day, but I'd end up doing the same task three out of four days constantly.

**Overall:** If you're coming from fast food or retail it's a step up. If you need real income for a family it probably won't cut it unless you move up to management, where the pay is actually decent. I personally had no interest in moving up — I was building my eBay business the whole time I was there. That's eventually why I quit.",negative,YouTube,Scheduling Issues
"I got hired at Amazon in August 2020. When you apply they let you pick whatever shift you want. I work Sunday night to Wednesday, off Thursday through Sunday. They also have donut shifts where you work Monday-Tuesday, off Wednesday, work Thursday-Friday, off the weekend. Lots of shift options.

After applying I got a response within 30 minutes to two hours — way faster than I expected. They send a ton of emails with your start date, pay rate, and pre-training documents with little tests. Complete all of it, they warned that not finishing by the due date could affect your hiring.

Orientation tip: get there early or you'll be stuck at the back of the line. The drug test is a cheek swab, nothing invasive. You get your badge photo taken the same day as the drug test so look decent for it.

The A to Z app is where you do everything — clock in, pick up shifts, request time off, see your pay and schedule. Amazon pays weekly.

**Time off breakdown:**
Personal time (PTO) — paid. Vacation — accumulates each paycheck but very slowly. Unpaid time — not paid but doesn't affect other balances. COVID time off — fully paid, I took a month off for COVID and got paid every week. Bereavement — three days off if you lose someone.

VTO is voluntary time off — they offer it when it's slow, you go home without pay but your other time balances are untouched. VET is voluntary extra time — you pick up extra shifts for extra pay, but once you accept you cannot back out. If you don't show up and don't have enough time to cover it you go negative and that's termination.

**Benefits are top tier** — health, dental, vision, 401k, stock options, and fully prepaid tuition as long as you stay with the company. Benefits start as soon as you walk in and sign up.

**Hair safety is serious.** Long hair must be tied up — a girl at my location had her hair pulled into a conveyor belt and lost her scalp. Put braids up, wear a bonnet, clip up wigs. Don't risk it.

Nails you can wear long but expect to break them. No nail policy enforced but it's on you.

Dress code is whatever you want — comfortable clothes, any shoes. They do offer a free pair of Zappos shoes up to 100 dollars. Wear them — steel toe protection matters because you can drop a tote on your foot at any time. My Pumas after two years are done.

Do I like Amazon? It's a job. It's paying my bills. The benefits alone make it worth it if you need coverage.
",positive,YouTube,Scheduling Issues
"Today is officially my first day at the Amazon warehouse. I've now been there about a month.

First day was entirely classroom — a presentation covering what you need to know, where everything is, guidelines and rules. They don't allow filming inside the facility at all, you can lose your job for it. They give you a clear bag to carry your stuff in. Every time you leave the building you go through a security checkpoint with metal detectors. Second day is when they actually put you on the floor in your department.

Most workers do a 10 hour shift. There's also a flex schedule where you build your own schedule — either a 4 hour minimum per week or a 30 hour minimum. I'm currently on a donut schedule, Monday-Tuesday, off Wednesday, work Thursday-Friday, off the weekend.

I work in ship dock. Packages drop into carts and I either move carts to the floor or load them onto trucks. Pretty simple but a lot of walking — I tracked around 30,000 steps a day. Kills your feet. Invest in Dr. Scholl's insoles or comfortable shoes. Ship dock requires steel toe safety shoes — use Amazon's credit to get them for free.

Pay in Virginia is $19 an hour, was $18.60 before a recent increase. First paycheck takes two weeks — they do that on purpose so people don't work one week and quit. We get paid every Wednesday.

Amazon is not a place for the weak. If you can't get through long shifts mentally, don't work there. The work itself isn't so bad, it's just the hours. Getting off at 4:30 or 5am is brutal. The only time I really enjoy my day is on my day off. By the six or seven hour mark of a shift you're already ready to leave, and leaving early costs you PTO so keep that in mind.

VTO comes up randomly — you can drop your shift with no consequences, just no pay. Take it fast because someone else will grab it immediately. They offer it when there's more workers than work to do.

PTO earns at about 55 minutes per 10 hour shift. Vacation time has to be requested at least two weeks in advance and you need PTO to cover it or you have to shift swap. Someone usually picks up dropped shifts within a day since there are so many people in the facility.

Breaks are two 30 minute breaks, roughly at the 10 hour and 2am/2pm marks depending on your shift. 30 minutes sounds like a lot until you try to go get food — there's nothing within 15 minutes of my facility so you'd be gone 45 minutes minimum. Bring your own food.

Managers vary. Mine are mostly chill. Some are strict about earbuds and phones. Some are stricter about bathroom breaks than others — luckily mine aren't, but that depends on your department and building.

Overall would I recommend it? The pay is decent, the work itself isn't bad, it's just the 10 hour shifts. I personally wouldn't do it long term but if you want to build up savings or work toward a management career it's not a bad option. I'm using it part time to build money while I look for something else.

You do have to work some holidays like Thanksgiving and Christmas — I haven't hit that yet but it's coming up.
",positive,YouTube,Scheduling Issues
"
I found myself working at Amazon after needing steady income. Before starting I researched online and heard some scary stories, but a lot of those videos were titled ""I worked at Amazon for one day"" or ""two days"" — and orientation is two days long, so those people never actually did the job.

**Surviving orientation:** First two days are 10 hour orientation days sitting in a room. I was hoping for 6 or 8 hours — it's 10. Bring snacks, water, and gum to stay awake. They have free coffee and hot chocolate but vending machines add up fast.

**Your feet:** There is no job at Amazon that requires you to sit down. Everything is standing, including the forklift machines. Your feet will hurt badly for the first two to three weeks, especially when you get off shift — not so much while you're working but you feel the burn after. That pain goes away. Soak your feet in Epsom salt on your days off, do foot massages, take care of them. After two to three weeks your feet adjust and you can work overtime without feeling it. If you already have chronic foot problems, this is not the job for you.

Composite toe shoes are required for safety. Amazon gives you up to $100 credit through Zappos. Order early because they usually arrive before orientation. If they don't fit right they'll give you shoe covers in the meantime.

**The A to Z app** is everything — time off, vacation, PTO, UPT tracking, medical benefits, 401k, discounts. Learn it inside and out because it can be the difference between staying and leaving.

Career Choice inside the app is a huge deal. Free language classes for non-native English speakers. Free GED and high school diploma programs. College tuition paid after six months of employment — $5,000 per semester. Financial advisors to help with buying a home or starting a business. If you factor in $5,000 per semester that's $20,000 extra per year on top of your wages.

Benefits include dental that covers 50% even on cosmetic procedures, which is rare.

**Time off breakdown:** You earn about 50 minutes of UPT (unpaid time) per shift, so roughly 2 hours 50 minutes per week. About 1 hour 50 minutes of paid time off per week. Vacation accumulates separately. Your job is tied to your UPT — the moment you go negative you're at risk of immediate termination. Some facilities fire you the second you go negative. Never go negative. Treat your UPT like money and always know your balance.

Get the prepaid card from HR within your first couple days. It lets you access up to 50% of your pay from day one. If you need gas money or to pay a bill that first week before your paycheck clears, this covers it. Don't abuse it but it's there when you need it.

**Leadership:** Show up and do your job consistently. You don't have to suck up but just doing your work right every time gets you noticed. Amazon rewards trustworthy employees who don't need to be told how to do their job.

Pick a shift that actually works for you. Ten hours on a shift you hate is brutal. Night person? Pick nights. Don't let the shift eat your life.

Give the job a real chance before deciding to leave. A lot of people quit during orientation before ever doing the actual work. Check every resource in the app first because the true value of the job goes way beyond the hourly wage.

I've been at Amazon for about five months. Forget the critics, go in and see for yourself.",positive,YouTube,Scheduling Issues
"Working a 10 hour shift at Amazon. I work at a fulfillment center where we sort boxes with a scanner. There's also an area where you just put boxes from a lane into a bigger box — no scanner needed. Different positions include noncon, shoe sort, under the mez, container loading, and container building. They're all kind of the same but different enough that if you get bored you can move to the next position. That's part of why I've stayed as long as I have.

I've seen a lot of people say working at Amazon was the worst time of their lives, that they overwork you and you're like a slave. Every warehouse is different depending on management and position, but mine is actually pretty chill.

One of the reasons I like this job is VTO. If I don't want to work my 4:30am shift I just hope they put out VTO, accept it if they do, take the day off and just don't get paid for it. If you want extra cash you can pick up shifts — sometimes there's a $3 premium shift, so if you normally make $18 you'd make $21 that hour.

My shift is 4:30am to 3:00pm.

The role I was assigned today was under the mez — basically taking small Amazon packages and putting them into a bigger box called a shuttle, then wrapping the shuttle so nothing falls out. It's what I did for both shifts today.

15 minute breaks I just go to my car to get some quiet since inside the warehouse is noisy. Lunch break is 30 minutes. There are three vending machines in the break room and they sell out fast.

The last hour of a double shift feels like it takes forever. Doing a 10 hour shift is not easy but they were paying the $3 premium so I pushed through it. Got home after being awake for 12 hours.

Overall Amazon is a somewhat okay place to work. I think it's a good part time job for extra cash, but it all depends on you.",positive,YouTube,Burnout
"Things I wish I knew before working at Amazon.

Your first day you're going to be sore unless your body is already used to physical activity. You're standing on your feet for 10 hours with two 30 minute breaks. Wear comfortable shoes. Amazon offers shoes through Zappos but the first pair I got wasn't comfortable — I had to break them in. The Zappos shoes are really designed for steel toe protection more than comfort. Amazon is very strict about protective footwear and will send you home if you show up without the right shoes. The socks that saved my life were Dr. Scholl's circulatory socks.

The hiring process is not a real interview. You show up with ID, prove citizenship, take a drug test and that's it. Pick your shift online and you basically already have the job unless you fail the background check or drug test. Amazon reportedly no longer tests for marijuana — I've heard this from many people who said they shouldn't have passed and did.

Get six to eight hours of sleep every night. Coming in unrested with 10 hours ahead of you makes everything miserable. Stay hydrated — Amazon has water coolers throughout the building with fresh cold water, no limits. Sip every 30 minutes rather than chugging so you don't feel full and sluggish.

Every station has a rate — a target amount of product to get out per shift. Don't focus on hitting rate every single second because it's technically nine hours of physical work and you'll burn out by midday. Find a consistent rhythm. What works for me is packing fast then giving myself a 30 second break, then going again. Check your rate every hour and adjust what's working.

No uniform but hair must be pulled back and not below your shoulders, shorts can't be above your fingertips, no spaghetti strap tops. Wear something loose and comfortable — you're in a warehouse and you will sweat.

Do not overdo overtime if you're not used to physical work. The three days off you get each week are genuinely needed for your body to recover. Maximum is 60 hours a week and they'll send you home when you approach that. Burning yourself out on overtime means you'll start missing your regular shifts and your UPT will drain fast. You get 80 hours of unpaid time — when it hits negative you're fired.

Every so often the screens stop and give you two 15 second stretch breaks — back stretches, hamstring stretches, even breathing exercises if you're having a rough day. Ergonomic mats at your station also help a lot if you have foot or back problems.

Two 30 minute breaks — the first is unpaid, the second is paid. Do not go over on that second break. It's tracked scan-to-scan, not by clocking in and out. The timer starts on the last item you scan before break and ends on the first item you scan when you return. I went over by about 7 to 12 minutes and got a write-up. Nobody told me about this during orientation.

Amazon discounts only apply to actual Amazon products shipped from Amazon buildings, not third party sellers. Nine times out of ten what you're looking at isn't an Amazon product so don't count on discounts.

If you're a social butterfly this might be hard. You're assigned to a station alone and focused on hitting rate, so there's not much time to talk except at lunch. A lot of people say it feels depressing because of the isolation. That said, talk to people when you can — coworkers will fill you in on things orientation left out and help you avoid getting written up.

A lot of Amazon's rules you won't find out about until you get in trouble for them. Pay attention and ask questions early.
",negative,YouTube,Scheduling Issues
