review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,company_name,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,pros_cleaned,cons_cleaned,pros_polarity,cons_polarity,sentiment_polarity,sentiment_label
1,2025-06-03T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,3,0,Amazon,Amazon Fulfillment Center,"Richmond, VA",Warehouse Fulfillment Associate,don’t micro manage,"not interactive 
can leave or take off whenever as long as you have time 
easy work","inhumane 
draining physically &amp; mentally",0,0,0,interactive leave take whenever long time easy,inhumane draining physically &; mentally,0.4019,0.0,0.20095,positive
2,2025-05-29T00:00:00.000Z,0,0,1,CONTRACT,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5,5,4,3,Good,Amazon Fulfillment Center,"Brampton, ON",Warehouse Associate,Remove all attitude manager from warehouse,good and easy work enviorment,"Sticks rules and completing targets any how, otherwise get warning",5,3,5,easy enviorment,"sticks rules completing targets how, otherwise warning",0.4404,-0.34,0.050199999999999995,positive
3,2025-05-28T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5,5,5,5,Good experience,Amazon Fulfillment Center,"Bolton, ON",Warehouse Associate,,"help to grow , good pay ,","limited opportunities for advancement,No clear path for promotion",5,5,5,help grow pay,"limited opportunities advancement,no clear path promotion",0.3182,0.5106,0.4144,positive
4,2025-05-26T00:00:00.000Z,0,0,2,PART_TIME,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,2,2,3,2,Dhdh,Amazon Fulfillment Center,"Swedesboro, NJ",Employee,,"Plenty of work
Meet new people","Tough on the body
Labor intensive",2,2,3,plenty meet new,tough body labor intensive,0.0,-0.128,-0.064,negative
5,2025-05-23T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,4,0,Good Pay rate,Amazon Fulfillment Center,"Whitby, ON",Fulfillment Associate,,"Good Holiday pay 
Additional benefits for permanent employees",Not hiring permanent employees directly,0,0,0,holiday pay additional benefits permanent employees,hiring permanent employees directly,0.5994,0.0,0.2997,positive
6,2025-05-18T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,,,,3,3,3,3,worst American sweat shop,Amazon Fulfillment Center,"Kenosha, WI",Warehouse Associate,,"Nice people, Great pay and benefits.",management does not care about its employees. hours are way to long.,4,2,3,"nice people, great pay benefits.",management care employees. hours way long.,0.8442,0.4939,0.6690499999999999,positive
7,2025-05-17T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,NEGATIVE,NO_OPINION,NEGATIVE,4,4,4,3,warehouse,Amazon Fulfillment Center,"Oklahoma City, OK",Associate,should have physical strength,"learn lift trucks, pallet jack, flex schedule/ Shifts","fast paced working environment, weight lifting",5,5,4,"learn lift trucks, pallet jack, flex schedule/ shifts","fast paced environment, weight lifting",0.0,0.0,0.0,neutral
8,2025-05-15T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,2,4,2,1,less than ideal,Amazon Fulfillment Center,,,no,decent work that wasnt too miserable,people in charge wasnt very good,3,2,4,decent wasnt miserable,charge wasnt,0.3875,0.0,0.19375,positive
9,2025-05-14T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,,,,0,0,3,0,Amazon,Amazon Fulfillment Center,"Clarksville, TN",Fulfillment Associate,Get better,"Good pay, not too long hours",Management absolutely is terrible at communicating,4,0,3,"pay, long hours",management absolutely terrible communicating,-0.1027,-0.5256,-0.31415,negative
10,2025-05-14T00:00:00.000Z,0,0,1,,"Former employee, less than 1 year",False,False,,,,0,0,2,0,Keep Going keep trying,Amazon Fulfillment Center,"Appleton, WI",Warehouse Worker,,Workout and regularly routine habit,"More work life,  less sleep .",0,0,0,workout regularly routine habit,"life, less sleep",0.0,0.0,0.0,neutral
11,2025-05-13T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,POSITIVE,APPROVE,POSITIVE,5,5,5,5,Amazon Fulfillment Center BDL2,Amazon Fulfillment Center,"Windsor, CT",Picker/Packer,Appreciation for employees,"Tuition reimbursement 
Schedule flexibility 
Benefits
Salary
Overtime opportunities","Standing +10 hours
Noise
Safety hazards 
Overworking
Get write ups for not meeting their rate expectations",5,4,4,tuition reimbursement schedule flexibility benefits salary overtime opportunities,standing +10 hours noise safety hazards overworking write ups meeting rate expectations,0.765,0.4215,0.59325,positive
12,2025-05-07T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,3,0,pro/cons,Amazon Fulfillment Center,"Sparrows Point, MD",WHSS,,The benefits are great and start immediately,The workplace culture is bad,0,0,0,benefits great start immediately,workplace culture,0.7717,0.0,0.38585,positive
13,2025-05-04T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,5,0,warehouse associate,Amazon Fulfillment Center,"Ajax, ON",Warehouse Associate,,"good pay
stress-free
hard working","night-shift
overtime
no cons at all",0,0,0,pay stress-free hard,night-shift overtime cons,-0.2023,0.0,-0.10115,negative
14,2025-05-04T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,,,,0,0,3,0,Not the worst,Amazon Fulfillment Center,"Louisville, TN",FC Associate I,,"4 day weeks, good benefits. OT usually available",Its a physical job so prepare to be tired.,0,0,0,"day weeks, benefits. usually available",physical prepare tired.,0.3818,-0.4404,-0.02930000000000002,neutral
15,2025-04-27T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,,,POSITIVE,0,0,4,1,One full year of employment,Amazon Fulfillment Center,"Suffolk, VA",Shipping and Receiving,,A good reference for previous work.,No cons to my knowledge.,0,0,0,reference previous work.,cons knowledge.,0.0,0.0,0.0,neutral
16,2025-04-24T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,2,3,worst experience ever,Amazon Fulfillment Center,"Hamilton, ON",Order Picker,"lose the hiring bias, you know what I mean",most of the people were great,"fired without notification, one day my badge just didnt work, wasting my time and my bus fare",3,1,3,great,"fired without notification, one day badge didnt work, wasting time bus fare",0.6249,-0.3274,0.14875,positive
17,2025-04-24T00:00:00.000Z,0,0,1,PART_TIME,"Former employee, less than 1 year",False,False,,,,5,0,5,0,Amazing expirience,Amazon Fulfillment Center,,Project Management Intern,,"Quality work
Lot to learn","No contract extenscion
Hard to find anything in Amazon again",4,0,5,quality learn,contract extenscion hard find anything,0.0,-0.1027,-0.05135,negative
